SEÇÃO,LOCAL DE VOTAÇÃO,BAIRRO,Eleitores aptos,Comparecimento,bairro_padronizado,tipo
SEÇÃO 110,E. M. ISABEL RAMOS DA SILVA,SÃO LOURENÇO,296,247,SAO LOURENCO,RURAL
SEÇÃO 111,ESCOLA MUN. PROF. LUCAS BRITO,CAMPO VELHO,321,270,CAMPO VELHO,URBANO
SEÇÃO 112,ESCOLA MUN. TEREZINHA ALMEIDA,VILA BENTO,344,260,VILA BENTO,URBANO
SEÇÃO 113,E. M. ODEIDE MILHOMEM DA CUNHA,SÃO JOAQUIM DOS MELOS,312,266,SAO JOAQUIM DOS MELOS,RURAL
SEÇÃO 114,COLÉGIO MILITAR,ASTOLFO SEABRA,315,250,ASTOLFO SEABRA,URBANO
SEÇÃO 115,E. M. VICENE FERREIRA LIMA,NOVO MARAJÁ,316,255,NOVO MARAJA,RURAL
SEÇÃO 116,E. M. ANTÔNIO MOREIRA LUCENA,ARARA,338,261,ARARA,RURAL
SEÇÃO 117,E. M. MARIA DA CONSOLAÇÃO BÍLIO CHAVES,BELEM,340,278,BELEM,URBANO
SEÇÃO 118,E. M. RAIMUNDO JOAQUIM DA CUNHA,CIGANA,304,228,CIGANA,RURAL
SEÇÃO 119,COLÉGIO MILITAR,ASTOLFO SEABRA,309,254,ASTOLFO SEABRA,URBANO
SEÇÃO 120,ESCOLA MUN. ZEZILA BORGES,TUNTUM DE CIMA,301,252,TUNTUM DE CIMA,URBANO
SEÇÃO 122,E. M. JOSÉ DOMINGOS ROSA,SÃO BENTO,271,215,SAO BENTO,RURAL
SEÇÃO 131,ESCOLA MUN. TEREZINHA ALMEIDA,VILA BENTO,344,272,VILA BENTO,URBANO
SEÇÃO 132,ESCOLA MUN. PROF. LUCAS BRITO,CAMPO VELHO,326,254,CAMPO VELHO,URBANO
SEÇÃO 136,ESCOLA MUN. ZEZILA BORGES,TUNTUM DE CIMA,298,235,TUNTUM DE CIMA,URBANO
SEÇÃO 138,COLÉGIO MILITAR,ASTOLFO SEABRA,319,272,ASTOLFO SEABRA,URBANO
SEÇÃO 140,E. M. RAIMUNDO JOAQUIM DA CUNHA,CIGANA,300,215,CIGANA,RURAL
SEÇÃO 143/141,E. M. SENHORA CARVALHO DOS SANTOS,CANTO GRANDE,180,160,CANTO GRANDE,RURAL
SEÇÃO 144,E. M. BIO NAZIOSENO,ALDEIA,92,83,ALDEIA,RURAL
SEÇÃO 145,COLÉGIO MILITAR,ASTOLFO SEABRA,307,258,ASTOLFO SEABRA,URBANO
SEÇÃO 146,E. M. ISABEL RAMOS DA SILVA,SÃO LOURENÇO,275,236,SAO LOURENCO,RURAL
SEÇÃO 148,ESCOLA MUN. PROF. LUCAS BRITO,CAMPO VELHO,131,115,CAMPO VELHO,URBANO
